Nome;Latitude;Longitude;Bairro
Estação Tubo Holanda, Avenida Paraná, Boa Vista,  82560-020, Brasil ;-25,399575;-49,2462344;Boa Vista
Estação Tubo Antônio Meirelles Sobrinho, Cajuru,  ;-25,4470161;-49,2169438;Cajuru
Estação tubo Círculo Militar, Centro,  ;-25,4270135;-49,26459005;Centro
Estação Tubo Rodoferroviária, Avenida Sete de Setembro, Rebouças, Vila Torres,  80060-070, Brasil ;-25,43539155;-49,26085379;Rebouças
Estação Tubo Jardim das Américas, Jardim das Américas,  ;-25,4523403;-49,22994796;Jardim das Américas
Estação Tubo João Vianna Seiler, Prado Velho, Vila Torres,  ;-25,45440195;-49,26046476;Prado Velho
Estação-tubo Joaquim Nabuco, Avenida Paraná, Santa Cândida,  82640390, Brasil ;-25,3807688;-49,2288483;Santa Cândida
Estação-tubo José Bettega, Canaleta Exclusiva - BRT, Capão Raso,  81130005, Brasil ;-25,4995066;-49,2960285;Capão Raso
Estação Tubo Kennedy, Avenida Presidente Kennedy, Rebouças,  80220-040, Brasil ;-25,4555143;-49,267603;Rebouças
Estação Tubo Lindoia, Avenida Presidente Wenceslau Braz, Lindóia,  81010060, Brasil ;-25,4740358;-49,2699924;Lindóia
Estação tubo Marechal Deodoro, Centro,  ;-25,4290257;-49,26358317;Centro
Estação-tubo Mariano Torres, Canaleta Exclusiva BRT, Rebouças, Vila Torres,  80060-070, Brasil ;-25,4356853;-49,2608025;Rebouças
Estação Tubo Marumby, Avenida Presidente Wenceslau Braz, Guaíra,  81,010-000, Brasil ;-25,4724254;-49,2644932;Guaíra
Estação-tubo Praça da Ucrânia, Canaleta Exclusiva BRT, Mercês,  80410-020, Brasil ;-25,4303756;-49,2927177;Mercês
Estação-tubo Mossunguê, Canaleta Exclusiva BRT, Mossunguê,  81200-110, Brasil ;-25,4386392;-49,3331512;Mossunguê
Estação-tubo Moysés Marcondes, Canaleta Exclusiva BRT, Juvevê,  80030-340, Brasil ;-25,413157;-49,2587329;Juvevê
Estação Tubo Museu Oscar Niemeyer, Rua Marechal Hermes, Centro Cívico,  80530-909, Brasil ;-25,4106789;-49,2661305;Centro Cívico
Estação Tubo Nova Europa, Canaleta Exclusiva BRT, Alto Boqueirão,  81770190, Brasil ;-25,5277629;-49,2407079;Alto Boqueirão
Estação Tubo Pádua Fleury, Hauer,  ;-25,47695055;-49,24957394;Hauer
Estação Tubo Paiol, Prado Velho, Vila Torres,  ;-25,44817895;-49,2580194;Prado Velho
Estação Tubo Parolin, Parolin,  ;-25,4630161;-49,25640626;Parolin
Estação Tubo Passarela (São Judas Tadeu), Boqueirão,  ;-25,48585365;-49,24510736;Boqueirão
Estação Tubo Passeio Público, Centro,  ;-25,4239904;-49,2683776;Centro
Estação-tubo Paulo Gorski, Canaleta Exclusiva BRT, Mossunguê,  81200-100, Brasil ;-25,4375592;-49,3243737;Mossunguê
Estação Tubo Paulo Kissula, Canaleta Exclusiva BRT, Capão da Imbuia,  82900-010, Brasil ;-25,4437729;-49,2090893;Capão da Imbuia
Estação tubo Petit Carneiro, Canaleta Exclusiva BRT, Água Verde,  80620010, Brasil ;-25,4522607;-49,2878712;Água Verde
Estação Tubo Praça Carlos Gomes, Centro,  ;-25,4337193;-49,27028615;Centro
Estação Tubo Praça da Bandeira, São Francisco,  ;-25,41657375;-49,27925435;São Francisco
Estação-tubo Praça da Ucrânia, Canaleta Exclusiva BRT, Mercês,  80410-020, Brasil ;-25,4303756;-49,2927177;Mercês
Estação Tubo Praça das Nações, Jardim Social,  ;-25,425872;-49,24236485;Jardim Social
Estação Tubo Praça Oswaldo Cruz, Avenida Sete de Setembro, Centro,  80250-130, Brasil ;-25,4415763;-49,2770993;Centro
Estação Tubo Praça Rui Barbosa, Centro,  ;-25,4358998;-49,274899;Centro
Estação-tubo Presidente Taunay, Canaleta Exclusiva BRT, Mercês,  80430000, Brasil ;-25,4287618;-49,2880324;Mercês
Estação Tubo PUC, Prado Velho, Vila Torres,  ;-25,4587229;-49,2498613;Prado Velho
Estação Tubo Quartel, Boqueirão,  ;-25,5072779;-49,23474085;Boqueirão
Estação-Tubo Rio Barigui, Canaleta Exclusiva BRT, Campina do Siqueira,  80740-050, Brasil ;-25,4392476;-49,3177245;Campina do Siqueira
Estação Tubo Roberto Hauer, Hauer,  ;-25,47335195;-49,25132244;Hauer
