EDUCACAO_PARTICULAR;EDUCACAO_PUBLICA;LAZER_PARTICULAR;LAZER_PUBLICO;SAUDE_PARTICULAR;SAUDE_PUBLICA;SEGURANCA_PATRIMONIO;SEGURANCA_VIDA;TRANSPORTE_CICLOVIAS;TRANSPORTE_ONIBUS;ZONEAMENTO_COMERCIO;ZONEAMENTO_INDUSTRIA;BAIRRO;NOME DO BAIRRO;AREA;HABITANTES;DOMICILIOS;RENDA MEDIA;PRECO VENDA;LATITUDE;LONGITUDE
654,8306942;417,3666664;38,38151746;43,44032761;25,29827076;101,1210552;648,6763572;798,186386;1496,791492;130,3457347;833,9718129;751,3717544;BARREIRINHA;BARREIRINHA;3,73;20425;5024;1272;3491;-25,36945526;-49,25851041
782,6142315;510,4413083;44,25359422;47,7030281;29,90847371;120,0058396;782,2825988;963,6219743;1735,798631;155,3470698;998,4675819;911,6785357;BATEL;BATEL;1,76;14134;3938;5120;9611;-25,44085746;-49,28819783
751,9976978;492,4163701;42,66070187;47,01957088;28,78747969;116,399717;752,4473815;927,0116932;1688,800387;148,6479766;960,3066292;877,6633801;BIGORRILHO;BIGORRILHO;3,5;32552;9937;3792;7902;-25,4293926;-49,30087933
683,2419177;437,0551281;39,93910623;44,9508912;26,29140979;106,2328607;678,1578351;836,4008828;1555,112279;136,7642756;874,3580824;787,462127;BOA VISTA;BOA VISTA;5,14;35269;9212;1817;5956;-25,38669518;-49,24766126
739,6895572;475,8067921;42,87243416;47,99545621;28,57285606;113,1461325;729,7470782;902,768222;1661,903392;147,1060171;937,9652801;848,5321435;BOM RETIRO;BOM RETIRO;1,94;6760;1780;2132;5350;-25,40922761;-49,27676037
701,2256981;486,1439151;38,22019866;42,31603451;25,12150324;117,0826135;767,1074897;903,9563582;1589,070904;144,0845282;938,0797759;869,9352742;BOQUEIRÃO;BOQUEIRÃO;14,8;82194;19750;1413;4352;-25,50134774;-49,2361879
621,4024979;412,9305147;35,28185518;40,04881621;23,73388702;98,12686428;627,9235874;770,8610898;1430,99679;121,5229951;796,0699868;731,9043347;BUTIATUVINHA;BUTIATUVINHA;10,58;12911;2948;1135;4296;-25,39471278;-49,35464094
721,4341247;463,2730232;42,00038454;46,79733655;27,70659106;111,3590533;715,80516;882,8025806;1630,738669;144,9749017;922,1212503;831,9390778;CABRAL;CABRAL;2,04;14064;3774;3914;7993;-25,40609542;-49,2501999
623,1464585;395,5760116;36,59766095;41,60502522;24,12131105;95,79909537;614,7477257;757,0301564;1424,967494;123,7942967;792,0021935;713,1979656;CACHOEIRA;CACHOEIRA;3,07;9286;2091;908;2820;-25,35407224;-49,25971471
691,8558005;460,3124643;38,80215538;42,6569044;25,35103814;111,2698802;717,7891671;869,2153878;1550,260381;141,5716272;906,4213497;829,0862566;CAJURU;CAJURU;11,55;107741;14301;793;4564;-25,45862973;-49,2068117
