LATITUDE;LONGITUDE;QUANTIDADE
-25,5034121;-49,2836195;7
-25,5034079;-49,272523;7
-25,5033494;-49,3019211;6
-25,5032943;-49,3112845;8
-25,5032299;-49,2371718;8
-25,5030639;-49,2367563;34
-25,5029416;-49,2743012;5
-25,5026926;-49,2760316;4
-25,5025369;-49,3139861;5
-25,5024382;-49,2905124;4
-25,5022499;-49,2607245;3
-25,50222287;-49,27725477;4
-25,5021441;-49,2508718;11
-25,5020303;-49,3249586;3
-25,501942;-49,215186;28
-25,5017533;-49,3140416;3
-25,5016839;-49,3275081;12
-25,5016358;-49,2082049;17
-25,5016029;-49,32002232;6
-25,501537;-49,3161301;13
-25,5015234;-49,2388357;16
-25,5012566;-49,2860409;4
-25,5008921;-49,2740449;3
-25,500775;-49,236573;72
-25,50053;-49,2983449;7
-25,5005195;-49,3235619;3
-25,5005169;-49,3147597;3
-25,5002515;-49,2298732;54
-25,4997887;-49,2893537;3
-25,4996616;-49,2229308;5
-25,4996264;-49,2836519;4
-25,4993035;-49,2275092;4
-25,4992367;-49,3318386;29
-25,49906;-49,2913185;3
-25,4986289;-49,3217896;4
-25,4985847;-49,2623348;3
-25,4983873;-49,2077659;3
-25,4983789;-49,210959;3
-25,4983017;-49,3314767;10
-25,4982925;-49,3315114;28
-25,4981819;-49,2123908;3
-25,4981224;-49,2472235;9
-25,4980592;-49,3082701;25
-25,4980314;-49,2352422;12
-25,4979422;-49,2201422;8
-25,4974608;-49,2501654;9
-25,4973798;-49,2835696;5
-25,4973764;-49,2835466;6
-25,4973352;-49,3304366;15
-25,4972418;-49,2849469;5
-25,4970052;-49,2272004;6
-25,4968465;-49,2627691;3
-25,4967378;-49,22513796;3
-25,4965626;-49,2716978;28
-25,4965588;-49,2588075;4
-25,4965117;-49,2263506;12
-25,4964116;-49,2773307;3
-25,49637072;-49,27622666;12
-25,496202;-49,2995775;8
-25,496154;-49,2662621;5
-25,4961148;-49,2868631;5
-25,4959621;-49,2824827;3
-25,495751;-49,2403557;25
-25,4954818;-49,2995797;5
-25,4951411;-49,280929;4
-25,4950318;-49,3395369;24
