LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
R. RODOLPHO SENFF JUNIOR;CAPÃO RASO;14;COMERCIO;-25,4985569;-49,2895168
R. TENENTE CORONEL BENJAMIN LAGE;UBERABA;18;COMERCIO;-25,4985457;-49,2185222
R. ALVORADA;GUABIROTUBA;3;INDUSTRIA;-25,4983873;-49,2077659
R. JOSÉ FERNANDES ALVES;UBERABA;3;INDUSTRIA;-25,4983789;-49,210959
R. BENEDITA LEÃO SILVEIRA PEREIRA;CIDADE INDUSTRIAL;10;INDUSTRIA;-25,4983017;-49,3314767
R. LUDOVICO ZANIER;CIDADE INDUSTRIAL;28;INDUSTRIA;-25,4982925;-49,3315114
R. LUDOVICO ZANIER;CIDADE INDUSTRIAL;18;COMERCIO;-25,4982925;-49,3315114
R. SANTO ANÍBAL MARIA DI FRANCIA;UBERABA;3;INDUSTRIA;-25,4981819;-49,2123908
R. VEREADOR ANTÔNIO CARNASCIALI;BOQUEIRÃO;9;INDUSTRIA;-25,4981224;-49,2472235
R. VEREADOR ANTÔNIO CARNASCIALI;BOQUEIRÃO;25;COMERCIO;-25,4981224;-49,2472235
R. PEDRO GUSSO;CAPÃO RASO;4;INDUSTRIA;-25,4980592;-49,3082701
R. PEDRO GUSSO;CIDADE INDUSTRIAL;14;INDUSTRIA;-25,4980592;-49,3082701
R. PEDRO GUSSO;NOVO MUNDO;7;INDUSTRIA;-25,4980592;-49,3082701
R. PEDRO GUSSO;CAPÃO RASO;44;COMERCIO;-25,4980592;-49,3082701
R. PEDRO GUSSO;CIDADE INDUSTRIAL;191;COMERCIO;-25,4980592;-49,3082701
R. PEDRO GUSSO;NOVO MUNDO;48;COMERCIO;-25,4980592;-49,3082701
R. ANTÔNIO SCHIEBEL;BOQUEIRÃO;12;INDUSTRIA;-25,4980314;-49,2352422
R. ANTÔNIO SCHIEBEL;BOQUEIRÃO;67;COMERCIO;-25,4980314;-49,2352422
R. DELEGADO NABY PARANÁ;CAPÃO RASO;17;COMERCIO;-25,4979911;-49,2918053
R. DOUTOR SIMÃO KOSSOBUDSKI;BOQUEIRÃO;8;INDUSTRIA;-25,4979422;-49,2201422
R. DOUTOR SIMÃO KOSSOBUDSKI;BOQUEIRÃO;26;COMERCIO;-25,4979422;-49,2201422
R. VEREADOR ADEODATO VOLPI;CAPÃO RASO;15;COMERCIO;-25,497933;-49,2944889
R. PROFESSOR JOSÉ MAURÍCIO HIGGINS;BOQUEIRÃO;9;INDUSTRIA;-25,4974608;-49,2501654
R. PROFESSOR JOSÉ MAURÍCIO HIGGINS;BOQUEIRÃO;70;COMERCIO;-25,4974608;-49,2501654
R. DANTE LUIZ JÚNIOR;CAPÃO RASO;5;INDUSTRIA;-25,4973798;-49,2835696
R. DANTE LUIZ JÚNIOR;CAPÃO RASO;18;COMERCIO;-25,4973798;-49,2835696
R. EMANUEL KANT;CAPÃO RASO;6;INDUSTRIA;-25,4973764;-49,2835466
R. EMANUEL KANT;CAPÃO RASO;28;COMERCIO;-25,4973764;-49,2835466
R. PROFESSOR JOÃO MAZZAROTTO;CAPÃO RASO;23;COMERCIO;-25,4973372;-49,294237
R. DEPUTADO JOAO RIBEIRO JUNIOR;CIDADE INDUSTRIAL;8;INDUSTRIA;-25,4973352;-49,3304366
R. RUDI LABSCH;CIDADE INDUSTRIAL;7;INDUSTRIA;-25,4973352;-49,3304366
R. DEPUTADO JOAO RIBEIRO JUNIOR;CIDADE INDUSTRIAL;13;COMERCIO;-25,4973352;-49,3304366
R. HUGO GUSSO;CAPÃO RASO;5;INDUSTRIA;-25,4972418;-49,2849469
R. HUGO GUSSO;CAPÃO RASO;13;COMERCIO;-25,4972418;-49,2849469
R. CADETE RENO GUIDO LONGO JÚNIOR;BOQUEIRÃO;6;INDUSTRIA;-25,4970052;-49,2272004
R. DOM JOSÉ MARELLO;XAXIM;15;COMERCIO;-25,4969757;-49,2634831
R. CATARINA GABARDO;XAXIM;3;INDUSTRIA;-25,4968465;-49,2627691
R. JOSÉ TORRES NETO;CIDADE INDUSTRIAL;14;COMERCIO;-25,4966964;-49,3235913
R. AUGUSTO ZIBARTH;UBERABA;28;COMERCIO;-25,4966705;-49,2164587
R. FRANCISCO DEROSSO;ALTO BOQUEIRÃO;3;INDUSTRIA;-25,4965626;-49,2716978
R. FRANCISCO DEROSSO;XAXIM;25;INDUSTRIA;-25,4965626;-49,2716978
R. FRANCISCO DEROSSO;ALTO BOQUEIRÃO;243;COMERCIO;-25,4965626;-49,2716978
R. FRANCISCO DEROSSO;XAXIM;494;COMERCIO;-25,4965626;-49,2716978
R. HUMBERTO CICCARINO;XAXIM;4;INDUSTRIA;-25,4965588;-49,2588075
R. HUMBERTO CICCARINO;BOQUEIRÃO;13;COMERCIO;-25,4965588;-49,2588075
R. HUMBERTO CICCARINO;XAXIM;19;COMERCIO;-25,4965588;-49,2588075
R. ARISTÓTELES DA SILVA SANTOS;BOQUEIRÃO;12;INDUSTRIA;-25,4965117;-49,2263506
R. ARISTÓTELES DA SILVA SANTOS;BOQUEIRÃO;18;COMERCIO;-25,4965117;-49,2263506
R. HELLEN KELLER;CAPÃO RASO;3;INDUSTRIA;-25,4964116;-49,2773307
R. PEDRO AMÉRICO;CAPÃO RASO;14;COMERCIO;-25,4963703;-49,2947175
R. SEBASTIÃO MALUCELLI;NOVO MUNDO;8;INDUSTRIA;-25,496202;-49,2995775
R. SEBASTIÃO MALUCELLI;NOVO MUNDO;30;COMERCIO;-25,496202;-49,2995775
R. NOSSA SENHORA DA CABECA;CIDADE INDUSTRIAL;13;COMERCIO;-25,4961899;-49,3212645
R. HUMBERTO HIGINO PAROLIN;XAXIM;5;INDUSTRIA;-25,496154;-49,2662621
R. HUMBERTO HIGINO PAROLIN;XAXIM;18;COMERCIO;-25,496154;-49,2662621
R. BÔRTOLO GUSSO;CAPÃO RASO;5;INDUSTRIA;-25,4961148;-49,2868631
R. BÔRTOLO GUSSO;CAPÃO RASO;67;COMERCIO;-25,4961148;-49,2868631
R. JOSÉ GOMES DE ABREU;CAPÃO RASO;3;INDUSTRIA;-25,4959621;-49,2824827
R. CORONEL LUIZ JOSÉ DOS SANTOS;***;3;INDUSTRIA;-25,495751;-49,2403557
R. CORONEL LUIZ JOSÉ DOS SANTOS;BOQUEIRÃO;11;INDUSTRIA;-25,495751;-49,2403557
R. CORONEL LUIZ JOSÉ DOS SANTOS;XAXIM;11;INDUSTRIA;-25,495751;-49,2403557
R. CORONEL LUIZ JOSÉ DOS SANTOS;BOQUEIRÃO;141;COMERCIO;-25,495751;-49,2403557
R. CORONEL LUIZ JOSÉ DOS SANTOS;XAXIM;92;COMERCIO;-25,495751;-49,2403557
R. AFFIFE MANSUR;NOVO MUNDO;5;INDUSTRIA;-25,4954818;-49,2995797
R. FERNANDES VIEIRA;CAPÃO RASO;4;INDUSTRIA;-25,4951411;-49,280929
R. FERNANDES VIEIRA;CAPÃO RASO;13;COMERCIO;-25,4951411;-49,280929
R. PROFESSOR ALGACYR MUNHOZ MADER;CIDADE INDUSTRIAL;24;INDUSTRIA;-25,4950318;-49,3395369
R. PROFESSOR ALGACYR MUNHOZ MADER;CIDADE INDUSTRIAL;56;COMERCIO;-25,4950318;-49,3395369
RUA PROFESSOR ALGACYR MUNHOZ MADER;CIDADE INDUSTRIAL;24;COMERCIO;-25,4950318;-49,3395369
R. ARTHUR MARTINS FRANCO;CIDADE INDUSTRIAL;20;INDUSTRIA;-25,4949253;-49,3352804
R. ARTHUR MARTINS FRANCO;FAZENDINHA;5;INDUSTRIA;-25,4949253;-49,3352804
R. ARTHUR MARTINS FRANCO;CIDADE INDUSTRIAL;38;COMERCIO;-25,4949253;-49,3352804
R. ARTHUR MARTINS FRANCO;FAZENDINHA;20;COMERCIO;-25,4949253;-49,3352804
R. DAS ANDORINHAS;NOVO MUNDO;22;COMERCIO;-25,4948705;-49,2870055
R. DEPUTADO CUNHA BUENO;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,4945037;-49,3482256
R. DEPUTADO CUNHA BUENO;CIDADE INDUSTRIAL;25;COMERCIO;-25,4945037;-49,3482256
R. PROFESSOR LÍCIO DE LIMA;NOVO MUNDO;20;COMERCIO;-25,4943935;-49,2812924
R. JOÃO BONAT;NOVO MUNDO;3;INDUSTRIA;-25,4943651;-49,2951252
R. JOÃO BONAT;NOVO MUNDO;28;COMERCIO;-25,4943651;-49,2951252
R. DOM BOSCO;NOVO MUNDO;4;INDUSTRIA;-25,4941359;-49,3056277
R. DOM BOSCO;NOVO MUNDO;21;COMERCIO;-25,4941359;-49,3056277
R. JAIR COELHO;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,4938833;-49,3489596
R. JAIR COELHO;CIDADE INDUSTRIAL;17;COMERCIO;-25,4938833;-49,3489596
R. ANTONIO REBELATTO;BOQUEIRÃO;3;INDUSTRIA;-25,49378;-49,2590796
R. ANTONIO REBELATTO;XAXIM;6;INDUSTRIA;-25,49378;-49,2590796
R. ANTONIO REBELATTO;XAXIM;38;COMERCIO;-25,49378;-49,2590796
R. JOSÉ REBELATO;XAXIM;15;COMERCIO;-25,49378;-49,2590796
R. AGILIO LEÃO DE MACEDO;CIDADE INDUSTRIAL;5;INDUSTRIA;-25,4937352;-49,3301619
R. DO AÇO;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,4936046;-49,3417876
R. DONA BARBARA CID;UBERABA;14;COMERCIO;-25,4935784;-49,2241418
R. AVIADOR ARMIN BUHRER;UBERABA;3;INDUSTRIA;-25,4935606;-49,2115189
R. AVIADOR ARMIN BUHRER;UBERABA;18;COMERCIO;-25,4935606;-49,2115189
R. DOUTOR EGON ARMANDO KRUEGER;CIDADE INDUSTRIAL;5;INDUSTRIA;-25,4933949;-49,3275578
R. ROSA SAHAGOFF;UBERABA;6;INDUSTRIA;-25,4931035;-49,2229074
R. DEPUTADO WALDEMIRO PEDROSO;NOVO MUNDO;15;INDUSTRIA;-25,4926523;-49,312043
R. DEPUTADO WALDEMIRO PEDROSO;NOVO MUNDO;50;COMERCIO;-25,4926523;-49,312043
R. MAGDALENA TABORDA RIBAS;NOVO MUNDO;3;INDUSTRIA;-25,4926236;-49,307473
R. MAGDALENA TABORDA RIBAS;NOVO MUNDO;24;COMERCIO;-25,4926236;-49,307473
R. RAYMUNDO RAMOS FERREIRA;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,4926162;-49,3285238
R. JOSÉ ALCIDES DE LIMA;CAPÃO RASO;3;INDUSTRIA;-25,4926149;-49,306569
R. JOSÉ ALCIDES DE LIMA;NOVO MUNDO;3;INDUSTRIA;-25,4926149;-49,306569
R. JOSÉ ALCIDES DE LIMA;CAPÃO RASO;18;COMERCIO;-25,4926149;-49,306569
R. JOSÉ ALCIDES DE LIMA;NOVO MUNDO;33;COMERCIO;-25,4926149;-49,306569
R. DEPUTADO NEO MARTINS;NOVO MUNDO;28;COMERCIO;-25,4925273;-49,2797688
R. EVARISTO DA VEIGA;BOQUEIRÃO;7;INDUSTRIA;-25,492515;-49,259684
R. EVARISTO DA VEIGA;BOQUEIRÃO;39;COMERCIO;-25,492515;-49,259684
R. OCTACYR REINALDO MION;XAXIM;17;COMERCIO;-25,4924916;-49,2685712
R. BRASÍLIO RIBAS;NOVO MUNDO;4;INDUSTRIA;-25,4922768;-49,2762529
R. BRASÍLIO RIBAS;NOVO MUNDO;29;COMERCIO;-25,4922768;-49,2762529
R. ANDRÉ FERREIRA CAMARGO;XAXIM;4;INDUSTRIA;-25,4921948;-49,261649
R. Ó BRASIL PARA CRISTO;BOQUEIRÃO;68;INDUSTRIA;-25,4921207;-49,2324195
R. PARÁ;ÁGUA VERDE;16;COMERCIO;-25,4921207;-49,2324195
R. Ó BRASIL PARA CRISTO;BOQUEIRÃO;109;COMERCIO;-25,4921207;-49,2324195
R. JOÃO ALVES;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,4919531;-49,3337081
R. SARGENTO LUIZ GONZAGA MARTINS RIBAS;UBERABA;3;INDUSTRIA;-25,4917461;-49,2071097
R. SARGENTO LUIZ GONZAGA MARTINS RIBAS;UBERABA;18;COMERCIO;-25,4917461;-49,2071097
R. ANTONIO DIONÍSIO SOBRINHO;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,4916723;-49,3487848
R. ANTONIO ADER;FANNY;5;INDUSTRIA;-25,4916498;-49,296827
R. FRANCISCO ADER;NOVO MUNDO;3;INDUSTRIA;-25,4916498;-49,296827
R. MÁRIO CHAUBALD BISCAIA;NOVO MUNDO;4;INDUSTRIA;-25,4916498;-49,296827
R. ANTONIO ADER;FANNY;16;COMERCIO;-25,4916498;-49,296827
R. MÁRIO CHAUBALD BISCAIA;NOVO MUNDO;16;COMERCIO;-25,4916498;-49,296827
R. DOUTOR FRANCISCO SOARES;NOVO MUNDO;4;INDUSTRIA;-25,4916488;-49,2790515
R. GINO BENUZZI;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,491606;-49,3310719
R. GINO BENUZZI;CIDADE INDUSTRIAL;13;COMERCIO;-25,491606;-49,3310719
R. ANDRÉ JOÃO GASPARIN;NOVO MUNDO;81;COMERCIO;-25,4915449;-49,2930689
R. EUNICE BETTINI BARTOSZECK;UBERABA;7;INDUSTRIA;-25,4912989;-49,2050586
R. EUNICE BETTINI BARTOSZECK;UBERABA;99;COMERCIO;-25,4912989;-49,2050586
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;BOQUEIRÃO;7;INDUSTRIA;-25,4911268;-49,2579355
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;HAUER;6;INDUSTRIA;-25,4911268;-49,2579355
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;BOQUEIRÃO;25;COMERCIO;-25,4911268;-49,2579355
R. CONDE DE SÃO JOÃO DAS DUAS BARRAS;HAUER;19;COMERCIO;-25,4911268;-49,2579355
R. FERNANDO DE SOUZA COSTA;FAZENDINHA;3;INDUSTRIA;-25,4908916;-49,3221988
R. FERNANDO DE SOUZA COSTA;FAZENDINHA;41;COMERCIO;-25,4908916;-49,3221988
R. FRANCISCO FRUET;NOVO MUNDO;6;INDUSTRIA;-25,4908768;-49,3092995
R. FRANCISCO FRUET;NOVO MUNDO;14;COMERCIO;-25,4908768;-49,3092995
R. GUSTAVO SCHIER;NOVO MUNDO;18;COMERCIO;-25,4907733;-49,3023837
R. PAULINA ADER;NOVO MUNDO;5;INDUSTRIA;-25,4907731;-49,2982468
R. TENENTE TITO TEIXEIRA DE CASTRO;BOQUEIRÃO;9;INDUSTRIA;-25,4906783;-49,2388386
R. TENENTE TITO TEIXEIRA DE CASTRO;BOQUEIRÃO;47;COMERCIO;-25,4906783;-49,2388386
R. LUIZ VALENZA;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,4904923;-49,3318337
R. PADRE MANUEL DA NÓBREGA;FANNY;26;COMERCIO;-25,4901252;-49,2795062
R. DAS GOIABEIRAS;CIDADE INDUSTRIAL;15;COMERCIO;-25,4900647;-49,3515208
R. LUIZ LEOPOLDO LANDAL;NOVO MUNDO;3;INDUSTRIA;-25,4898648;-49,2993636
R. LUIZ LEOPOLDO LANDAL;NOVO MUNDO;19;COMERCIO;-25,4898648;-49,2993636
R. MARIA LUCIA LOCHER DE ATHAYDE;CIDADE INDUSTRIAL;15;COMERCIO;-25,4896116;-49,354087
R. CLARA POLSIN;NOVO MUNDO;6;INDUSTRIA;-25,4894451;-49,2858925
R. CLARA POLSIN;NOVO MUNDO;35;COMERCIO;-25,4894451;-49,2858925
R. RODOLFO BERNARDELLI;UBERABA;11;INDUSTRIA;-25,4893934;-49,226729
R. RODOLFO BERNARDELLI;UBERABA;53;COMERCIO;-25,4893934;-49,226729
R. JOEL PEDRINI;UBERABA;3;INDUSTRIA;-25,4893563;-49,2285273
R. MARIA TREVISAN TORTATO;NOVO MUNDO;4;INDUSTRIA;-25,4893186;-49,2896859
R. MARIA TREVISAN TORTATO;NOVO MUNDO;20;COMERCIO;-25,4893186;-49,2896859
R. BOM JESUS DE IGUAPE;BOQUEIRÃO;47;INDUSTRIA;-25,4892799;-49,2408636
R. BOM JESUS DE IGUAPE;HAUER;24;INDUSTRIA;-25,4892799;-49,2408636
R. BOM JESUS DE IGUAPE;BOQUEIRÃO;122;COMERCIO;-25,4892799;-49,2408636
R. BOM JESUS DE IGUAPE;HAUER;86;COMERCIO;-25,4892799;-49,2408636
R. JOÃO SURIAN;NOVO MUNDO;25;COMERCIO;-25,489043;-49,3051849
R. PEDRO ZAGONEL;***;3;INDUSTRIA;-25,4889295;-49,294109
R. PEDRO ZAGONEL;NOVO MUNDO;7;INDUSTRIA;-25,4889295;-49,294109
R. PEDRO ZAGONEL;NOVO MUNDO;115;COMERCIO;-25,4889295;-49,294109
R. PASTOR ANTONIO CARDONA AGUIAR;NOVO MUNDO;3;INDUSTRIA;-25,4888201;-49,2832838
R. ELOY DE ASSIS FABRIS;FANNY;3;INDUSTRIA;-25,4886924;-49,2816727
R. ELOY DE ASSIS FABRIS;NOVO MUNDO;5;INDUSTRIA;-25,4886924;-49,2816727
R. ELOY DE ASSIS FABRIS;NOVO MUNDO;18;COMERCIO;-25,4886924;-49,2816727
R. MARCOS ANTONIO MALUCELLI;CIDADE INDUSTRIAL;15;COMERCIO;-25,4886434;-49,3504693
R. PRIMO LOURENÇO TOSIN;NOVO MUNDO;10;INDUSTRIA;-25,488578;-49,3024113
R. PRIMO LOURENÇO TOSIN;NOVO MUNDO;25;COMERCIO;-25,488578;-49,3024113
R. IZIDORO SIEDELISKI;NOVO MUNDO;3;INDUSTRIA;-25,4885397;-49,2877368
R. IZIDORO SIEDELISKI;NOVO MUNDO;13;COMERCIO;-25,4885397;-49,2877368
R. PROFESSOR ANTONIO MARTINS FRANCO;NOVO MUNDO;14;COMERCIO;-25,4885301;-49,2798625
R. BARTOLOMEU LOURENÇO DE GUSMÃO;BOQUEIRÃO;66;INDUSTRIA;-25,4883445;-49,238514
R. BARTOLOMEU LOURENÇO DE GUSMÃO;HAUER;12;INDUSTRIA;-25,4883445;-49,238514
R. HIPÓLITO DA COSTA;BOQUEIRÃO;8;INDUSTRIA;-25,4883445;-49,238514
R. BARTOLOMEU LOURENÇO DE GUSMÃO;BOQUEIRÃO;151;COMERCIO;-25,4883445;-49,238514
R. BARTOLOMEU LOURENÇO DE GUSMÃO;HAUER;39;COMERCIO;-25,4883445;-49,238514
R. HIPÓLITO DA COSTA;BOQUEIRÃO;54;COMERCIO;-25,4883445;-49,238514
R. CAROLINA CASTELLI;NOVO MUNDO;4;INDUSTRIA;-25,4882762;-49,3126777
R. CAROLINA CASTELLI;NOVO MUNDO;17;COMERCIO;-25,4882762;-49,3126777
R. MAXIMILIANO BOSCARDIN;FAZENDINHA;4;INDUSTRIA;-25,4882423;-49,3275368
R. BERNARDO JACINTHO DA VEIGA;NOVO MUNDO;4;INDUSTRIA;-25,4881706;-49,3010523
R. BERNARDO JACINTHO DA VEIGA;NOVO MUNDO;18;COMERCIO;-25,4881706;-49,3010523
R. HASSIB JEZZINI;FANNY;4;INDUSTRIA;-25,4880815;-49,2745356
R. HASSIB JEZZINI;FANNY;19;COMERCIO;-25,4880815;-49,2745356
R. DINIZ JOAQUIM GEREMIAS;UBERABA;4;INDUSTRIA;-25,4880139;-49,2287064
R. AUGUSTO DAVID DE MORAES;UBERABA;5;INDUSTRIA;-25,4878254;-49,2087937
R. PEDRO POLATI;FAZENDINHA;4;INDUSTRIA;-25,4877685;-49,3329714
R. JOSÉ PEIXOTO DE LACERDA WERNECK;BOQUEIRÃO;3;INDUSTRIA;-25,4874805;-49,2417653
R. JOSÉ PEIXOTO DE LACERDA WERNECK;BOQUEIRÃO;17;COMERCIO;-25,4874805;-49,2417653
R. DURVAL LEOPOLDO LANDAL;CIDADE INDUSTRIAL;5;INDUSTRIA;-25,4874777;-49,3509548
R. DURVAL LEOPOLDO LANDAL;CIDADE INDUSTRIAL;27;COMERCIO;-25,4874777;-49,3509548
R. HILDA CADILHE DE OLIVEIRA;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,487472;-49,3497979
R. HILDA CADILHE DE OLIVEIRA;CIDADE INDUSTRIAL;14;COMERCIO;-25,487472;-49,3497979
R. CORONEL HERCULANO DE ARAUJO;NOVO MUNDO;12;INDUSTRIA;-25,4874058;-49,3102633
R. CORONEL HERCULANO DE ARAUJO;NOVO MUNDO;32;COMERCIO;-25,4874058;-49,3102633
R. JOÃO ANTONIO BRAGA CORTES;FAZENDINHA;15;COMERCIO;-25,4873695;-49,3293128
R. OLGA DE ARAÚJO ESPÍNDOLA;NOVO MUNDO;3;INDUSTRIA;-25,4872906;-49,3010546
R. SIMÃO BRANTE;UBERABA;5;INDUSTRIA;-25,487123;-49,2274201
R. SIMÃO BRANTE;UBERABA;28;COMERCIO;-25,487123;-49,2274201
R. IRMÃ FLÁVIA BORLET;HAUER;3;INDUSTRIA;-25,4870109;-49,2514572
R. IRMÃ FLÁVIA BORLET;BOQUEIRÃO;13;COMERCIO;-25,4870109;-49,2514572
R. VICTOR LUIZ MAGANHOTO;UBERABA;3;INDUSTRIA;-25,486777;-49,2043672
R. RAGGI IZAR;BOQUEIRÃO;4;INDUSTRIA;-25,4867137;-49,261506
R. RAGGI IZAR;HAUER;5;INDUSTRIA;-25,4867137;-49,261506
R. RAGGI IZAR;BOQUEIRÃO;22;COMERCIO;-25,4867137;-49,261506
R. RAGGI IZAR;HAUER;14;COMERCIO;-25,4867137;-49,261506
R. DOUTOR AUGUSTO LOBO DE MOURA;FAZENDINHA;4;INDUSTRIA;-25,4866695;-49,3309316
R. DOUTOR AUGUSTO LOBO DE MOURA;FAZENDINHA;14;COMERCIO;-25,4866695;-49,3309316
R. DEMÉTRIO LEZAN;UBERABA;4;INDUSTRIA;-25,4866624;-49,2317911
AV. BRASÍLIA;CAPÃO RASO;4;INDUSTRIA;-25,4865709;-49,2924726
AV. BRASÍLIA;NOVO MUNDO;15;INDUSTRIA;-25,4865709;-49,2924726
AV. BRASÍLIA;CAPÃO RASO;119;COMERCIO;-25,4865709;-49,2924726
AV. BRASÍLIA;NOVO MUNDO;253;COMERCIO;-25,4865709;-49,2924726
R. CLETO DA SILVA;BOQUEIRÃO;17;INDUSTRIA;-25,4865356;-49,2394062
R. CLETO DA SILVA;BOQUEIRÃO;37;COMERCIO;-25,4865356;-49,2394062
R. MARCOS BAGGIO;FAZENDINHA;14;COMERCIO;-25,4864606;-49,3345104
R. VISCONDE DO SERRO FRIO;NOVO MUNDO;14;COMERCIO;-25,4862844;-49,2996563
R. NICOLAU SERRATO SOBRINHO;NOVO MUNDO;3;INDUSTRIA;-25,4860951;-49,2890971
R. JOSÉ SERRATO;SANTA CÂNDIDA;14;COMERCIO;-25,4860951;-49,2890971
R. NICOLAU SERRATO SOBRINHO;NOVO MUNDO;18;COMERCIO;-25,4860951;-49,2890971
R. MONSENHOR DUNAND;UBERABA;3;INDUSTRIA;-25,4859244;-49,2040435
R. ALCINO GUANABARA;HAUER;9;INDUSTRIA;-25,4857568;-49,2591534
R. PROFESSOR JOSÉ NOGUEIRA DOS SANTOS;BOQUEIRÃO;3;INDUSTRIA;-25,4857568;-49,2591534
R. ALCINO GUANABARA;HAUER;94;COMERCIO;-25,4857568;-49,2591534
R. PROFESSOR JOSÉ NOGUEIRA DOS SANTOS;BOQUEIRÃO;17;COMERCIO;-25,4857568;-49,2591534
R. PROFESSOR JOSÉ NOGUEIRA DOS SANTOS;HAUER;14;COMERCIO;-25,4857568;-49,2591534
R. THEOPHILO MANSUR;NOVO MUNDO;4;INDUSTRIA;-25,4857431;-49,3087729
R. THEOPHILO MANSUR;NOVO MUNDO;21;COMERCIO;-25,4857431;-49,3087729
R. JOÃO DE OLIVEIRA FRANCO;FANNY;3;INDUSTRIA;-25,4856759;-49,279833
R. JOSÉ SEBASTIÃO BALTAZAR;CIDADE INDUSTRIAL;3;INDUSTRIA;-25,4855433;-49,3483615
R. JOSÉ SEBASTIÃO BALTAZAR;CIDADE INDUSTRIAL;15;COMERCIO;-25,4855433;-49,3483615
R. ELIAS MOYSES SCHELELA;UBERABA;13;COMERCIO;-25,4854974;-49,2266867
R. PRESIDENTE WILSON;UBERABA;16;COMERCIO;-25,4853729;-49,2278237
R. CHANCELER OSWALDO ARANHA;HAUER;6;INDUSTRIA;-25,4853506;-49,2649831
R. WALDEMIRO RY;NOVO MUNDO;4;INDUSTRIA;-25,4852886;-49,2905885
R. WALDEMIRO RY;NOVO MUNDO;26;COMERCIO;-25,4852886;-49,2905885
R. JOÃO STENZOWSKI;NOVO MUNDO;25;COMERCIO;-25,4852864;-49,2890835
R. CARLOS DE LAET;BOQUEIRÃO;50;INDUSTRIA;-25,4851588;-49,2414671
R. CARLOS DE LAET;HAUER;23;INDUSTRIA;-25,4851588;-49,2414671
R. CARLOS DE LAET;BOQUEIRÃO;176;COMERCIO;-25,4851588;-49,2414671
R. CARLOS DE LAET;HAUER;97;COMERCIO;-25,4851588;-49,2414671
R. RAUL POMPEIA;CIDADE INDUSTRIAL;6;INDUSTRIA;-25,4851446;-49,3530951
R. RAUL POMPEIA;CIDADE INDUSTRIAL;255;COMERCIO;-25,4851446;-49,3530951
R. DIAMANTE DO NORTE;CIDADE INDUSTRIAL;12;INDUSTRIA;-25,4850196;-49,3440551
R. ISAIAS REGIS DE MIRANDA;BOQUEIRÃO;4;INDUSTRIA;-25,4846846;-49,2511775
R. ISAIAS REGIS DE MIRANDA;HAUER;8;INDUSTRIA;-25,4846846;-49,2511775
R. ISAIAS REGIS DE MIRANDA;BOQUEIRÃO;46;COMERCIO;-25,4846846;-49,2511775
R. ISAIAS REGIS DE MIRANDA;HAUER;56;COMERCIO;-25,4846846;-49,2511775
R. LUCIANA SAMMUT ROSENTHAL;NOVO MUNDO;3;INDUSTRIA;-25,4846436;-49,3056932
R. GERALDINO RAMIRO DOS SANTOS;CIDADE INDUSTRIAL;28;COMERCIO;-25,484643;-49,3487491
R. DOUTOR LUIZ LOSSO FILHO;NOVO MUNDO;61;COMERCIO;-25,484455;-49,3112102
AV. SENADOR SALGADO FILHO;GUABIROTUBA;8;INDUSTRIA;-25,4844386;-49,2234377
AV. SENADOR SALGADO FILHO;UBERABA;32;INDUSTRIA;-25,4844386;-49,2234377
AV. SENADOR SALGADO FILHO;***;19;COMERCIO;-25,4844386;-49,2234377
AV. SENADOR SALGADO FILHO;GUABIROTUBA;188;COMERCIO;-25,4844386;-49,2234377
AV. SENADOR SALGADO FILHO;PRADO VELHO;14;COMERCIO;-25,4844386;-49,2234377
AV. SENADOR SALGADO FILHO;UBERABA;330;COMERCIO;-25,4844386;-49,2234377
R. JOÃO CUBAS;NOVO MUNDO;13;COMERCIO;-25,4844327;-49,2890577
R. JOSÉ CADILHE;ÁGUA VERDE;3;INDUSTRIA;-25,4844232;-49,3511156
R. JOSÉ CADILHE;ÁGUA VERDE;39;COMERCIO;-25,4844232;-49,3511156
R. PROFESSORA MARIA DE ASSUMPÇÃO;BOQUEIRÃO;6;INDUSTRIA;-25,4842091;-49,2500019
R. PROFESSORA MARIA DE ASSUMPÇÃO;HAUER;3;INDUSTRIA;-25,4842091;-49,2500019
R. PROFESSORA MARIA DE ASSUMPÇÃO;BOQUEIRÃO;35;COMERCIO;-25,4842091;-49,2500019
R. PROFESSORA MARIA DE ASSUMPÇÃO;HAUER;25;COMERCIO;-25,4842091;-49,2500019
R. ODENIR DISSENHA;UBERABA;14;COMERCIO;-25,4841504;-49,198473
R. ARNAUD FERREIRA VELLOSO;CIDADE INDUSTRIAL;4;INDUSTRIA;-25,4841135;-49,353193
