LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
R. ANTONIO CHUEDA;GANCHINHO;6;INDUSTRIA;-25,5745006;-49,2545816
R. OLIVIO JOSE ROSSETTI;TATUQUARA;13;COMERCIO;-25,5742764;-49,3348542
R. ODIR GOMES DA ROCHA;TATUQUARA;3;INDUSTRIA;-25,5730389;-49,3351759
R. ODIR GOMES DA ROCHA;TATUQUARA;51;COMERCIO;-25,5730389;-49,3351759
R. FERDINAND OTTO MULLER;TATUQUARA;16;COMERCIO;-25,5716963;-49,3361556
R. DOUTOR CEZAR PERNETTA;TATUQUARA;28;COMERCIO;-25,5705923;-49,3366542
AV. SANTA RITA DE CASSIA DOS IMPOSSÍVEIS;TATUQUARA;3;INDUSTRIA;-25,5686337;-49,3346079
AV. SANTA RITA DE CASSIA DOS IMPOSSÍVEIS;TATUQUARA;13;COMERCIO;-25,5686337;-49,3346079
R. VEREADOR ANGELO BURBELLO;UMBARÁ;6;INDUSTRIA;-25,5682133;-49,292626
R. VEREADOR ANGELO BURBELLO;UMBARÁ;13;COMERCIO;-25,5682133;-49,292626
R. JOÃO DIÓRIO;TATUQUARA;13;COMERCIO;-25,5666446;-49,3317798
R. DEPUTADO PINHEIRO JUNIOR;UMBARÁ;4;INDUSTRIA;-25,566568;-49,2819722
R. DEPUTADO PINHEIRO JUNIOR;UMBARÁ;38;COMERCIO;-25,566568;-49,2819722
R. ENETTE DUBARD;TATUQUARA;134;COMERCIO;-25,5664921;-49,3392181
R. NICOLA PELLANDA;PINHEIRINHO;9;INDUSTRIA;-25,566131;-49,2879437
R. NICOLA PELLANDA;SÍTIO CERCADO;4;INDUSTRIA;-25,566131;-49,2879437
R. NICOLA PELLANDA;UMBARÁ;23;INDUSTRIA;-25,566131;-49,2879437
R. NICOLA PELLANDA;PINHEIRINHO;103;COMERCIO;-25,566131;-49,2879437
R. NICOLA PELLANDA;SÍTIO CERCADO;14;COMERCIO;-25,566131;-49,2879437
R. NICOLA PELLANDA;TATUQUARA;17;COMERCIO;-25,566131;-49,2879437
R. NICOLA PELLANDA;UMBARÁ;90;COMERCIO;-25,566131;-49,2879437
R. PEDRINA ACCORDES COSTA;GANCHINHO;6;INDUSTRIA;-25,5655607;-49,2505878
R. PEDRINA ACCORDES COSTA;GANCHINHO;13;COMERCIO;-25,5655607;-49,2505878
