LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
PASTOR WALDOMIRO BILESKI;SÍTIO CERCADO;58;PATRIMONIO;-25,5432587;-49,260851
PR. WALDOMIRO BILESKI;SÍTIO CERCADO;36;PATRIMONIO;-25,5432587;-49,260851
PASTOR WALDOMIRO BILESKI;SÍTIO CERCADO;13;VIDA;-25,5432587;-49,260851
 PASTOR WALDOMIRO BILESKI;SÍTIO CERCADO;5;PATRIMONIO;-25,5432587;-49,260851
PR. WALDOMIRO BILESKI;SÍTIO CERCADO;4;VIDA;-25,5432587;-49,260851
CURITIBA PONTA GROSSA BR-277;ORLEANS;102;PATRIMONIO;-25,4381926;-49,2607929
CURITIBA PONTA GROSSA BR-277;SANTA FELICIDADE;15;PATRIMONIO;-25,4381926;-49,2607929
 CURITIBA PONTA GROSSA BR-277;ORLEANS;8;PATRIMONIO;-25,4381926;-49,2607929
CURITIBA PONTA GROSSA BR-277;ORLEANS;4;VIDA;-25,4381926;-49,2607929
CURITIBA PONTA GROSSA BR-277;SANTA FELICIDADE;3;VIDA;-25,4381926;-49,2607929
CURITIBA PONTA GROSSA BR-277;BIGORRILHO;2;VIDA;-25,4381926;-49,2607929
PEDRO GABARDO;XAXIM;4;VIDA;-25,4954259;-49,2604066
AMÂNCIO MORO;ALTO DA GLÓRIA;2;VIDA;-25,4203334;-49,2603938
TROMBUDO CENTRAL;SÍTIO CERCADO;4;VIDA;-25,5345522;-49,2603563
MARIANO TORRES;CENTRO;29;PATRIMONIO;-25,43527;-49,2603221
MARIANO TORRES;CENTRO;8;VIDA;-25,43527;-49,2603221
OMILIO MONTEIRO SOARES;FANNY;6;PATRIMONIO;-25,4745439;-49,2603001
MÚSICO ANTERO GONÇALVES  DA SILVA;SÍTIO CERCADO;2;VIDA;-25,5538941;-49,2602928
FRANCISCO TORRES;CENTRO;68;PATRIMONIO;-25,4333811;-49,2602037
FRANCISCO TORRES;CENTRO;32;VIDA;-25,4333811;-49,2602037
FLÁVIO DALLEGRAVE;BOA VISTA;34;PATRIMONIO;-25,3861549;-49,26017
FLÁVIO DALLEGRAVE;BOA VISTA;9;VIDA;-25,3861549;-49,26017
FLÁVIO DALLEGRAVE;ALTO DA RUA XV;7;PATRIMONIO;-25,3861549;-49,26017
FLÁVIO DALLEGRAVE;SÃO LOURENÇO;2;VIDA;-25,3861549;-49,26017
24 DE MAIO;REBOUÇAS;38;PATRIMONIO;-25,4659701;-49,2601009
24 DE MAIO;REBOUÇAS;16;VIDA;-25,4659701;-49,2601009
24 DE MAIO;CENTRO;15;PATRIMONIO;-25,4659701;-49,2601009
24 DE MAIO;CENTRO;3;VIDA;-25,4659701;-49,2601009
CLEMENTE MENDES FERREIRA;SÍTIO CERCADO;4;VIDA;-25,5523992;-49,2599047
ANGELO MORO;SÍTIO CERCADO;2;VIDA;-25,5523992;-49,2599047
ENGENHEIRO REBOUÇAS;JARDIM BOTÂNICO;2;VIDA;-25,4419827;-49,259858
PAPA JOAO XXIII;CENTRO CÍVICO;6;PATRIMONIO;-25,4482495;-49,2597971
PAPA JOÃO XXIII;CENTRO CÍVICO;6;PATRIMONIO;-25,4482495;-49,2597971
