LATITUDE;LONGITUDE
-25,46947076;-49,28695701
-25,56094546;-49,28693178
-25,45068791;-49,28691266
-25,38331729;-49,28683098
-25,4452288;-49,28671956
-25,56188775;-49,28655504
-25,46596948;-49,28638626
-25,46860883;-49,28635926
-25,44508163;-49,28633903
-25,44846057;-49,28618505
-25,56283004;-49,2861783
-25,53142196;-49,28616678
-25,44636597;-49,28612781
-25,45031052;-49,28592229
-25,3835538;-49,28580959
-25,56377233;-49,28580157
-25,46774689;-49,2857615
-25,46517419;-49,28572793
-25,44750314;-49,28553607
-25,56471463;-49,28542483
-25,44471295;-49,28538156
-25,53204264;-49,28534537
-25,44810403;-49,28522075
-25,46688496;-49,28516375
-25,4643789;-49,28506959
-25,56565692;-49,28504809
-25,4486403;-49,28494433
-25,44993312;-49,28493192
-25,38379031;-49,28478821
-25,56659921;-49,28467136
-25,46602302;-49,28456599
-25,53266332;-49,28452397
-25,44434427;-49,2844241
-25,46358361;-49,28441126
-25,44977747;-49,28435259
-25,5675415;-49,28429462
-25,44774748;-49,28425645
-25,50585089;-49,28405587
-25,46516109;-49,28396823
-25,44955572;-49,28394154
-25,56848379;-49,28391788
-25,56848379;-49,28391788
-25,38402681;-49,28376682
-25,46278832;-49,28375292
-25,53328401;-49,28370256
-25,44397559;-49,28346663
-25,46429915;-49,28337048
-25,44739094;-49,28329215
-25,50639886;-49,2831803
-25,46199303;-49,28309459
-25,56799371;-49,28302737
-25,44917833;-49,28295117
-25,53390469;-49,28288116
-25,46343722;-49,28277272
-25,38426332;-49,28274544
-25,44360691;-49,28250917
-25,46119774;-49,28243625
-25,4470344;-49,28232786
-25,50694683;-49,28230474
-25,46257528;-49,28217496
-25,56750363;-49,28213685
-25,53452537;-49,28205975
-25,44880093;-49,28196079
-25,46040245;-49,28177792
-25,38449983;-49,28172405
-25,46171335;-49,28157721
-25,44323822;-49,2815517
-25,5074948;-49,28142917
-25,44667785;-49,28136356
-25,56701355;-49,28124634
-25,53514605;-49,28123834
-25,45960716;-49,28111958
