NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
NOVO HORIZONTE, C M E I;R MANOEL NOBREGA 326;SITIO CERCADO;PÚBLICA;-25,556521;-49,2667843
CECILIA M WESTPHALEN, E M PROFA-EI EF;RUA GERALDO MICHELETTO PELLANDA 150;SITIO CERCADO;PÚBLICA;-25,556994;-49,2615687
CIRO FRARE, C M E I;R MARIA CLARA DE JESUS 215;GANCHINHO;PÚBLICA;-25,5574061;-49,2522393
MARIA NEIDE G BETIATTO, E M PROFA-EI EF;RUA ANTONIO AUGUSTO DE BRITO 230;UMBARA;PÚBLICA;-25,5576964;-49,28167
GUILHERME A MARANHAO, C E DESEMB-EF M;RUA JOSE ANGELO MARTINS 101;TATUQUARA;PÚBLICA;-25,5579482;-49,3325295
JEQUITIBA, C M E I;R EDUARDO PINTO DA ROCHA 4190;SITIO CERCADO;PÚBLICA;-25,5583641;-49,2572857
LUIZ CARLOS P E SOUZA, C E C-M PROF-EF M;RUA ALBERT SABIN 300;UMBARA;PÚBLICA;-25,5588627;-49,2803658
POMPILIA, E M DONA-EI EF;RUA JOVENILSON AMERICO DE OLIVEIRA 240;TATUQUARA;PÚBLICA;-25,5589008;-49,3313455
MUSSA JOSE DE ASSIS, C M E I JORN;RUA SILVIO CORAZZA 376;GANCHINHO;PÚBLICA;-25,5594365;-49,2519285
MARGARIDA ORSO DALLAGASSA, E M-EF;RUA SARG FRANCISCO DA SILVA CONTRIN 100;TATUQUARA;PÚBLICA;-25,5594669;-49,3156696
VO ANNA, C M E I;RUA ERNESTO GERMANO FRANCISCO HANNEMANN 592;TATUQUARA;PÚBLICA;-25,55963034;-49,33282973
DALAGASSA, C M E I;RUA MATHEUS LUIZ DALAGASSA 200;TATUQUARA;PÚBLICA;-25,5596737;-49,3165572
ITACOLOMI/SABARA, C M E I;RUA SAO VALERIO 70;CIC;PÚBLICA;-25,5597478;-49,2529557
ISABEL PIMENTEL, C M E I JORN;TRAVESSA ALICE FURLAMETTO MORET 55;TATUQUARA;PÚBLICA;-25,5599687;-49,339745
ERICA P MLYNARCZYK, E M PROFA-EI EF;RUA JAIME JOSE VOJCIECHOVSKI 194;TATUQUARA;PÚBLICA;-25,5602768;-49,3132696
DARCY RIBEIRO, E M PROF-EF;RUA ENETTE DUBARD 90;TATUQUARA;PÚBLICA;-25,5603173;-49,3390873
MARIA GAI GRENDEL, C E PROFA-EF M;RUA DEL BRUNO DE ALMEIDA 320;CAXIMBA;PÚBLICA;-25,5618042;-49,3153647
