LATITUDE;LONGITUDE;QUANTIDADE
-25,37083698;-49,27469608;29
-25,4764676;-49,2747285;20
-25,4244818;-49,2749523;44
-25,43488601;-49,27511024;51
-25,4312965;-49,2751215;38
-25,50464798;-49,2751558;35
-25,4819321;-49,2753043;13
-25,4261461;-49,2753671;207
-25,4544646;-49,2755353;20
-25,4319977;-49,275536;77
-25,43385456;-49,27558656;134
-25,4580052;-49,275598;19
-25,3743781;-49,2756902;32
-25,4198597;-49,2757401;26
-25,4396436;-49,2757512;156
-25,4779842;-49,2758824;13
-25,4513325;-49,2758909;14
-25,5265261;-49,2759024;17
-25,5139267;-49,2760312;14
-25,5026926;-49,2760316;15
-25,49637072;-49,27622666;75
-25,4922768;-49,2762529;29
-25,4564596;-49,2764982;17
-25,5629412;-49,2766239;13
-25,4167028;-49,2766254;16
-25,4309418;-49,2767381;326
-25,4484176;-49,27685627;13
-25,4332974;-49,2769665;319
-25,4682087;-49,2769804;13
-25,4432309;-49,277025;49
-25,4367417;-49,2771789;296
-25,4743323;-49,2771792;100
-25,50222287;-49,27725477;18
-25,4382718;-49,2772825;68
-25,3881215;-49,2773029;13
-25,4644332;-49,2773792;756
-25,4311674;-49,2773909;63
-25,479723;-49,2775735;40
-25,535544;-49,2776877;13
-25,4001371;-49,2777531;28
-25,4257832;-49,2778439;38
-25,5414297;-49,2779143;14
-25,4021072;-49,2781302;16
-25,5055176;-49,2781781;13
-25,4461632;-49,2782651;49
-25,4165392;-49,2783572;14
-25,5116635;-49,2783927;40
-25,55291562;-49,2784321;33
-25,4315922;-49,2784628;16
-25,4423163;-49,2786288;92
-25,5348738;-49,2786457;115
-25,436029;-49,2791802;476
-25,5562351;-49,2792387;34
-25,5210284;-49,2792737;15
-25,4530879;-49,2793498;28
-25,5151988;-49,279437;25
-25,4901252;-49,2795062;26
-25,5057709;-49,2795242;15
-25,385291;-49,2796419;28
-25,503391;-49,2797448;19
-25,4925273;-49,2797688;28
-25,4603262;-49,2798223;36
-25,4764987;-49,2798559;130
-25,4885301;-49,2798625;14
-25,4827571;-49,2799069;20
-25,4380733;-49,2799985;18
-25,5053364;-49,2803862;19
-25,4588296;-49,280415;18
-25,4117485;-49,2805333;27
-25,4791534;-49,2805997;41
-25,430635;-49,2808535;195
-25,4127124;-49,2808821;18
-25,4951411;-49,280929;13
-25,544066;-49,2810614;104
-25,4398172;-49,2811233;25
-25,4573522;-49,2811398;24
-25,5386998;-49,2812243;48
-25,4141006;-49,2812651;38
-25,4943935;-49,2812924;20
-25,4721865;-49,2814235;58
-25,424453;-49,2816212;90
-25,4886924;-49,2816727;18
-25,4451651;-49,2817295;180
-25,5392362;-49,2818058;14
-25,474625;-49,2818731;18
-25,566568;-49,2819722;38
-25,3854217;-49,2821928;17
-25,557256;-49,2822219;19
-25,50624128;-49,2822982;32
-25,50533739;-49,28252799;29
-25,3856663;-49,2826046;54
-25,43956;-49,2826897;110
-25,4416751;-49,2833796;76
-25,5499908;-49,2834122;16
-25,4973764;-49,2835466;28
-25,4973798;-49,2835696;18
-25,5328626;-49,2836221;18
-25,4602462;-49,2837609;36
-25,5395834;-49,2837679;20
-25,5208702;-49,2838118;20
-25,4477932;-49,2841497;42
