LATITUDE;LONGITUDE
-25,4604343;-49,3451625
-25,4606227;-49,2044002
-25,4607677;-49,2584829
-25,4616393;-49,1963524
-25,46177395;-49,33349881
-25,4618143;-49,2149364
-25,4618553;-49,2899875
-25,46188295;-49,31714095
-25,46200132;-49,21402906
-25,4620694;-49,2983625
-25,4629419;-49,3045411
-25,46326335;-49,28321802
-25,4635284;-49,2377026
-25,4641413;-49,261043
-25,4642073;-49,2915103
-25,4643603;-49,3059692
-25,4644059;-49,3410682
-25,4645338;-49,2949245
-25,4648995;-49,2052845
-25,4652516;-49,2972342
-25,465346;-49,2637618
-25,4657973;-49,2948888
-25,46580323;-49,26199379
-25,4664702;-49,2891582
-25,4667202;-49,3271607
-25,467397;-49,2931031
-25,4674135;-49,2467851
-25,4681132;-49,1981414
-25,4685636;-49,2661306
-25,4702227;-49,2026334
-25,470453;-49,2033681
-25,4705149;-49,1946604
-25,4706166;-49,27504701
-25,4706511;-49,3403697
-25,4708325;-49,191921
-25,47144975;-49,2712406
-25,4716762;-49,1976898
-25,4719696;-49,2274564
-25,472596;-49,3159374
-25,472759;-49,3480635
-25,4728236;-49,3437795
-25,4728286;-49,3473562
-25,473517;-49,3153979
-25,4738548;-49,2270167
-25,4739683;-49,3614258
-25,4741452;-49,3121482
-25,4743026;-49,223172
-25,4743323;-49,2771792
-25,4743748;-49,341267
-25,4745759;-49,3261976
-25,4749439;-49,2863296
-25,4749806;-49,1962025
-25,4751727;-49,3498273
-25,4756706;-49,3475804
-25,4766109;-49,3392067
-25,4766333;-49,2389289
-25,4770048;-49,2316336
-25,4770637;-49,2815055
-25,477156;-49,1955999
-25,4778784;-49,31713427
-25,4784444;-49,3364505
-25,478452;-49,3593311
-25,4786589;-49,2727985
-25,478806;-49,2392034
-25,4788074;-49,2555083
-25,47933343;-49,357912
-25,4793338;-49,299173
-25,4793911;-49,2961492
-25,4795159;-49,3047476
-25,4795183;-49,3578573
-25,47959213;-49,32758664
-25,4796087;-49,3363726
-25,4799442;-49,2710966
-25,4799967;-49,266458
-25,4800668;-49,2465355
-25,48007052;-49,33137702
-25,4803601;-49,3515538
-25,4806786;-49,3475099
-25,4807056;-49,3210741
-25,4808233;-49,2703196
-25,4811062;-49,2031104
-25,4815835;-49,3527684
-25,4815835;-49,3527684
-25,4819641;-49,2760617
-25,4822922;-49,2268964
-25,4823267;-49,2137054
-25,4823267;-49,2137054
-25,4827571;-49,2799069
-25,4836458;-49,3310114
-25,4836546;-49,3140608
-25,4836546;-49,3140608
-25,4837304;-49,2488183
-25,4838597;-49,2850117
-25,48405834;-49,35333387
-25,484365;-49,2234196
-25,4846013;-49,340531
-25,4846248;-49,3385706
-25,4846846;-49,2511775
-25,4847523;-49,3023331
-25,4850647;-49,2036984
-25,4851588;-49,2414671
-25,4851588;-49,2414671
-25,4854974;-49,2266867
-25,4856821;-49,3441757
-25,4857954;-49,3254651
-25,4862844;-49,2996563
-25,48654175;-49,35591726
-25,4867155;-49,3530957
-25,4867155;-49,3530957
-25,48687875;-49,32628338
-25,4869969;-49,2001688
-25,4872898;-49,1954152
-25,4872898;-49,1954152
-25,4874058;-49,3102633
-25,4874059;-49,3260772
-25,48762;-49,306711
-25,4882251;-49,2777389
-25,4882662;-49,2024738
-25,4886505;-49,2889578
-25,4887392;-49,2021454
-25,4889196;-49,292542
-25,4889196;-49,292542
-25,4889366;-49,3548937
-25,4889712;-49,2040105
-25,4890829;-49,2806353
-25,4894984;-49,2381191
-25,4897072;-49,3317303
-25,48976768;-49,2577313
-25,4901661;-49,1999105
-25,4904967;-49,3100882
-25,4905792;-49,2524413
-25,4906783;-49,2388386
-25,4913674;-49,2078469
-25,49160352;-49,2616712
-25,4918138;-49,2231706
-25,4937291;-49,2079595
-25,493788;-49,2385661
-25,4938255;-49,21038512
-25,49402055;-49,34943044
-25,4940327;-49,2162971
-25,4942851;-49,34861192
-25,4951411;-49,280929
-25,4953324;-49,30317632
-25,4954475;-49,3354181
-25,4954475;-49,3354181
-25,495971;-49,348792
-25,4960449;-49,3161107
-25,4960502;-49,3380706
-25,4961899;-49,3212645
-25,4961899;-49,3212645
