LATITUDE;LONGITUDE
-25,4096602;-49,2916347
-25,4096901;-49,2408719
-25,4100049;-49,34592702
-25,4101646;-49,2509191
-25,4104204;-49,2515567
-25,4106426;-49,2814861
-25,41073;-49,271375
-25,4109757;-49,3514738
-25,41102833;-49,27533116
-25,4115748;-49,2343728
-25,4116528;-49,2530179
-25,41166044;-49,26363565
-25,4118944;-49,229475
-25,4120842;-49,2513693
-25,4124285;-49,2149919
-25,4124573;-49,2015366
-25,4124921;-49,2176373
-25,4130082;-49,2164143
-25,4130082;-49,2164143
-25,4130749;-49,2139461
-25,4131878;-49,2386709
-25,4132234;-49,2645162
-25,4133282;-49,252506
-25,4134303;-49,2635329
-25,4135369;-49,3129822
-25,4137922;-49,2445123
-25,4138193;-49,3486059
-25,4140623;-49,2557022
-25,4140913;-49,2452034
-25,4145077;-49,2621644
-25,4149923;-49,2620036
-25,4150351;-49,2855243
-25,4150686;-49,2444711
-25,4150964;-49,2543809
-25,4151207;-49,3433724
-25,4151515;-49,3281115
-25,4152305;-49,27221217
-25,4152356;-49,2579943
-25,4153105;-49,2511018
-25,4153105;-49,2511018
-25,415368;-49,244627
-25,4154267;-49,2656965
-25,41563365;-49,27503145
-25,41575634;-49,27213246
-25,415871;-49,2453676
-25,4159354;-49,2801511
-25,4163612;-49,2453131
-25,4164185;-49,3577446
-25,41683015;-49,34519344
-25,4168356;-49,2243057
-25,416904;-49,260578
-25,417296;-49,2193117
-25,4174085;-49,2065428
-25,4178381;-49,2727496
-25,4182726;-49,2213543
-25,418307;-49,3438638
-25,4183647;-49,2953083
-25,4183647;-49,2953083
-25,41840135;-49,34765548
-25,4184023;-49,2502065
-25,418533;-49,2657446
-25,418533;-49,2657446
-25,41854115;-49,2731841
-25,4190091;-49,2630665
-25,4192854;-49,3435375
-25,4197066;-49,2916996
-25,4200862;-49,2871351
-25,4202321;-49,2462339
-25,4202543;-49,2459621
-25,4204117;-49,2001242
-25,4204644;-49,2883944
-25,42047093;-49,28827159
-25,4206325;-49,2296724
-25,4208694;-49,2549393
-25,4210176;-49,2729928
-25,4210611;-49,2501584
-25,4213111;-49,278606
-25,4214054;-49,2839028
-25,4215233;-49,26765545
-25,4218326;-49,25025928
-25,4219183;-49,2796434
-25,4222505;-49,2714328
-25,42240265;-49,28995072
-25,4226622;-49,3505027
-25,42279185;-49,33132869
-25,4228092;-49,2133156
-25,4228156;-49,2831826
-25,4231483;-49,2916272
-25,4232641;-49,354693
-25,4233023;-49,2725747
-25,42342715;-49,26937585
-25,4234962;-49,2577547
-25,42378202;-49,24286926
-25,4237932;-49,2780758
-25,4239321;-49,3021576
-25,4240195;-49,2049082
-25,4240571;-49,2522134
-25,4248754;-49,2790208
-25,4252129;-49,2631768
-25,42541705;-49,27487777
-25,4255781;-49,3516243
-25,4255922;-49,348129
-25,4256695;-49,279772
-25,425712;-49,2310786
-25,4257271;-49,2846214
-25,4258313;-49,1948567
-25,42606982;-49,2907379
-25,42629975;-49,26883393
-25,4264566;-49,2897395
-25,42658417;-49,2436592
-25,426753;-49,3530382
-25,4267931;-49,2781799
-25,426979;-49,2653997
-25,4270383;-49,239432
