LATITUDE;LONGITUDE;QUANTIDADE
-25,5500331;-49,2489907;2
-25,549851;-49,2989766;4
-25,5497122;-49,2726074;2
-25,5494387;-49,2596843;6
-25,5487501;-49,339956;2
-25,5486296;-49,2731031;4
-25,5482501;-49,2579556;2
-25,5480123;-49,2504643;2
-25,547817;-49,3427552;2
-25,5472719;-49,2709916;8
-25,5469012;-49,2693562;4
-25,5466947;-49,3403158;2
-25,5465064;-49,2627902;6
-25,5463474;-49,2685492;6
-25,5460996;-49,2631334;7
-25,5460688;-49,2648609;2
-25,5455452;-49,34036;2
-25,5454217;-49,2660533;2
-25,5453413;-49,2649329;11
-25,5452058;-49,2648024;53
-25,5450661;-49,250847;6
-25,5449824;-49,3388271;2
-25,544975;-49,2535507;3
-25,5448179;-49,2886645;6
-25,5442128;-49,2771041;2
-25,5440878;-49,2583098;2
-25,544066;-49,2810614;12
-25,5439867;-49,3411499;2
-25,5439459;-49,2629607;5
-25,5434313;-49,2502128;4
-25,5432587;-49,260851;17
-25,5432168;-49,2566174;2
-25,5431219;-49,2623357;2
-25,5428421;-49,28429589;9
-25,5427221;-49,248296;2
-25,5426943;-49,2417634;3
-25,5425216;-49,2634172;3
-25,5417318;-49,2558316;25
-25,5415602;-49,2618121;3
-25,5414305;-49,2743368;8
-25,5414297;-49,2779143;2
-25,5411265;-49,202971;2
-25,5408076;-49,2597046;2
-25,5406859;-49,2404057;2
-25,5402043;-49,2880469;4
-25,5400443;-49,2745988;2
-25,5395834;-49,2837679;2
-25,5395187;-49,2496769;2
-25,5392877;-49,2724462;6
-25,5392362;-49,2818058;2
-25,5391841;-49,2480773;6
-25,5391209;-49,297808;2
-25,5385393;-49,2384061;2
-25,5378016;-49,2467125;2
-25,5377233;-49,2731361;4
-25,537217;-49,2371672;2
-25,5371265;-49,2590264;2
-25,5368077;-49,2711251;9
-25,5367758;-49,2377672;3
-25,5366726;-49,2407001;2
-25,5365306;-49,2580924;2
-25,5361604;-49,2685048;2
-25,5361105;-49,2587704;2
-25,535652;-49,2806312;15
-25,5355731;-49,2666007;2
-25,5353788;-49,283017;6
-25,5349188;-49,2893847;19
-25,5348738;-49,2786457;6
-25,5348349;-49,26836;75
-25,5345522;-49,2603563;4
-25,5344797;-49,2761081;2
-25,5344637;-49,2397583;3
-25,534252;-49,2354424;2
-25,5340194;-49,2672026;2
-25,5339307;-49,2706006;2
-25,5336845;-49,2729115;2
-25,5336771;-49,2593192;2
-25,5335419;-49,2801926;2
-25,5333101;-49,19766072;2
-25,5331335;-49,2611624;2
-25,5330899;-49,2859635;3
-25,5325725;-49,247367;2
-25,5325375;-49,2719298;4
-25,5324925;-49,2571246;2
-25,5323406;-49,2671396;127
-25,5323069;-49,2424469;30
-25,532223;-49,2779399;6
-25,5320968;-49,257285;3
-25,5316179;-49,2504143;3
-25,5316092;-49,272897;3
-25,5315375;-49,3328267;2
-25,531157;-49,2643196;6
-25,5310354;-49,2551943;9
-25,531017;-49,2341962;2
-25,5306629;-49,2595191;2
-25,5306044;-49,2953218;16
-25,5305773;-49,2762412;2
-25,5305183;-49,2530456;2
-25,5304969;-49,3380335;2
-25,5302244;-49,3354421;16
-25,5301814;-49,3370718;3
-25,5299238;-49,3393741;6
-25,5297422;-49,2709759;2
-25,5297124;-49,2465282;9
-25,5296769;-49,2488227;40
-25,5295225;-49,231476;2
-25,5294568;-49,2595809;2
-25,52874658;-49,32707255;5
-25,5286507;-49,2862228;2
-25,52848889;-49,24148773;6
-25,5283532;-49,2340586;3
-25,5280988;-49,2609099;3
-25,5280031;-49,2369303;7
-25,5279844;-49,2766353;2
-25,5279824;-49,2697594;5
-25,5279052;-49,2724496;3
-25,5275945;-49,2400875;10
-25,5275563;-49,2776918;2
-25,5272333;-49,2713286;6
-25,5271656;-49,2311477;2
